item_id,timestamp,qty_sold
category1_01,2021-02-01,2
category1_01,2021-02-02,2
category1_01,2021-02-03,1
category1_01,2021-02-06,4
category1_01,2021-02-07,1
category1_01,2021-02-08,2
category1_01,2021-02-09,2
category1_01,2021-02-10,1
category1_01,2021-02-13,2
category1_01,2021-02-19,2
category1_01,2021-02-20,4
category1_01,2021-02-22,1
category1_01,2021-02-23,3
category1_01,2021-02-25,3
category1_01,2021-02-27,6
category1_01,2021-03-05,3
category1_01,2021-03-06,2
category1_01,2021-03-09,3
category1_01,2021-03-10,2
category1_01,2021-03-11,1
category1_01,2021-03-12,2
category1_01,2021-03-13,0
category1_01,2021-03-15,1
category1_01,2021-03-17,2
category1_01,2021-03-18,10
category1_01,2021-03-19,1
category1_01,2021-05-19,4
category1_01,2021-05-22,11
category1_01,2021-05-23,4
category1_01,2021-05-24,4
category1_01,2021-05-25,6
category1_01,2021-05-26,4
category1_01,2021-05-27,2
category1_01,2021-05-28,2
category1_01,2021-05-29,10
category1_01,2021-06-01,2
category1_01,2021-06-02,0
category1_01,2021-06-03,2
category1_01,2021-06-04,2
category1_01,2021-06-05,4
category1_01,2021-06-07,4
category1_01,2021-06-08,1
category1_01,2021-06-09,4
category1_01,2021-06-10,6
category1_01,2021-06-11,3
category1_01,2021-06-12,19
category1_01,2021-06-13,3
category1_01,2021-06-14,6
category1_01,2021-06-15,2
category1_01,2021-06-16,6
category1_01,2021-06-17,6
category1_01,2021-06-18,6
category1_01,2021-06-19,12
category1_01,2021-06-20,1
category1_01,2021-06-21,1
category1_01,2021-06-22,2
category1_01,2021-06-23,6
category1_01,2021-06-24,7
category1_01,2021-06-25,7
category1_01,2021-06-26,9
category1_01,2021-06-27,1
category1_01,2021-06-28,6
category1_01,2021-06-29,1
category1_01,2021-06-30,1
category1_01,2021-07-01,3
category1_01,2021-07-02,6
category1_01,2021-07-03,15
category1_01,2021-07-04,1
category1_01,2021-07-05,1
category1_01,2021-07-06,6
category1_01,2021-07-07,4
category1_01,2021-07-08,2
category1_01,2021-07-09,3
category1_01,2021-07-10,4
category1_01,2021-07-12,2
category1_01,2021-07-14,3
category1_01,2021-07-15,1
category1_01,2021-07-16,3
category1_01,2021-07-17,6
category1_01,2021-07-18,1
category1_01,2021-07-19,3
category1_01,2021-07-20,4
category1_01,2021-07-21,8
category1_01,2021-07-22,3
category1_01,2021-07-23,4
category1_01,2021-07-24,3
category1_01,2021-07-26,2
category1_01,2021-07-27,4
category1_01,2021-07-28,10
category1_01,2021-07-29,1
category1_01,2021-07-30,2
category1_01,2021-08-02,1
category1_01,2021-08-03,3
category1_01,2021-08-05,3
category1_01,2021-08-06,1
category1_01,2021-08-07,3
category1_01,2021-08-09,7
category1_01,2021-08-10,3
category1_01,2021-08-12,1
category1_01,2021-08-13,1
category1_01,2021-08-14,1
category1_01,2021-08-18,3
category1_01,2021-08-19,3
category1_01,2021-08-20,1
category1_01,2021-08-21,8
category1_01,2021-08-23,3
category1_01,2021-08-25,1
category1_01,2021-08-26,4
category1_01,2021-08-27,8
category1_01,2021-08-30,2
category1_01,2021-08-31,2
category1_01,2021-09-01,4
category1_01,2021-09-02,9
category1_01,2021-09-03,8
category1_01,2021-09-04,20
category1_01,2021-09-06,6
category1_01,2021-09-07,3
category1_01,2021-09-08,2
category1_01,2021-09-09,5
category1_01,2021-09-10,4
category1_01,2021-09-11,11
category1_01,2021-09-12,1
category1_01,2021-09-13,2
category1_01,2021-09-14,4
category1_01,2021-09-15,4
category1_01,2021-09-16,4
category1_01,2021-09-17,4
category1_01,2021-09-18,16
category1_01,2021-09-20,0
category1_01,2021-09-21,5
category1_01,2021-09-22,1
category1_01,2021-09-23,7
category1_01,2021-09-24,5
category1_01,2021-09-25,15
category1_01,2021-09-27,5
category1_01,2021-09-28,3
category1_01,2021-09-29,8
category1_01,2021-09-30,3
category1_01,2021-10-01,1
category1_01,2021-10-02,10
category1_01,2021-10-03,2
category1_01,2021-10-04,3
category1_01,2021-10-05,4
category1_01,2021-10-06,6
category1_01,2021-10-07,4
category1_01,2021-10-08,4
category1_01,2021-10-09,9
category1_01,2021-10-10,1
category1_01,2021-10-11,3
category1_01,2021-10-12,4
category1_01,2021-10-13,6
category1_01,2021-10-14,4
category1_01,2021-10-15,4
category1_01,2021-10-16,19
category1_01,2021-10-17,3
category1_01,2021-10-18,2
category1_01,2021-10-19,9
category1_01,2021-10-20,1
category1_01,2021-10-21,4
category1_01,2021-10-22,2
category1_01,2021-10-23,12
category1_01,2021-10-24,1
category1_01,2021-10-25,0
category1_01,2021-10-26,5
category1_01,2021-10-27,3
category1_01,2021-10-29,1
category1_01,2021-10-30,11
category1_01,2021-11-02,5
category1_01,2021-11-03,1
category1_01,2021-11-05,6
category1_01,2021-11-06,8
category1_01,2021-11-08,2
category1_01,2021-11-09,3
category1_01,2021-11-10,5
category1_01,2021-11-11,9
category1_01,2021-11-12,8
category1_01,2021-11-13,5
category1_01,2021-11-15,2
category1_01,2021-11-16,3
category1_01,2021-11-17,4
category1_01,2021-11-18,2
category1_01,2021-11-19,1
category1_01,2021-11-20,7
category1_01,2021-11-21,1
category1_01,2021-11-22,1
category1_01,2021-11-23,1
category1_01,2021-11-24,4
category1_01,2021-11-25,1
category1_01,2021-11-26,11
category1_01,2021-11-27,3
category1_01,2021-11-29,2
category1_01,2021-12-01,1
category1_01,2021-12-02,4
category1_01,2021-12-03,2
category1_01,2021-12-04,8
category1_01,2021-12-05,7
category1_01,2021-12-06,5
category1_01,2021-12-07,1
category1_01,2021-12-08,4
category1_01,2021-12-09,4
category1_01,2021-12-10,5
category1_01,2021-12-11,12
category1_01,2021-12-12,2
category1_01,2021-12-13,6
category1_01,2021-12-14,5
category1_01,2021-12-15,12
category1_01,2021-12-16,3
category1_01,2021-12-17,10
category1_01,2021-12-18,9
category1_01,2021-12-19,9
category1_01,2021-12-20,10
category1_01,2021-12-21,10
category1_01,2021-12-22,7
category1_01,2021-12-23,17
category1_01,2021-12-24,11
category1_01,2021-12-26,0
category1_01,2021-12-27,4
category1_01,2021-12-28,4
category1_01,2021-12-29,4
category1_01,2021-12-30,5
category1_01,2021-12-31,11
category1_01,2022-01-02,1
category1_01,2022-01-03,1
category1_01,2022-01-04,4
category1_01,2022-01-05,6
category1_01,2022-01-07,5
category1_01,2022-01-08,7
category1_01,2022-01-09,6
category1_01,2022-01-10,2
category1_01,2022-01-11,0
category1_01,2022-01-12,2
category1_01,2022-01-13,1
category1_01,2022-01-14,3
category1_01,2022-01-15,6
category1_01,2022-01-16,0
category1_01,2022-01-17,3
category1_01,2022-01-19,1
category1_01,2022-01-22,6
category1_01,2022-01-23,1
category1_01,2022-01-24,2
category1_01,2022-01-25,6
category1_01,2022-01-26,2
category1_01,2022-01-27,2
category1_01,2022-01-29,1
category1_01,2022-01-30,3
category1_01,2022-01-31,2
category1_01,2022-02-01,3
category1_01,2022-02-02,1
category1_01,2022-02-03,1
category1_01,2022-02-04,2
category1_01,2022-02-05,9
category1_01,2022-02-07,2
category1_01,2022-02-08,5
category1_01,2022-02-09,1
category1_01,2022-02-11,5
category1_01,2022-02-12,4
category1_01,2022-02-14,3
category1_01,2022-02-15,2
category1_01,2022-02-17,1
category1_01,2022-02-18,1
category1_01,2022-02-19,8
category1_01,2022-02-22,4
category1_01,2022-02-23,2
category1_01,2022-02-24,1
category1_01,2022-02-25,2
category1_01,2022-02-26,4
category1_01,2022-02-28,4
category1_01,2022-03-01,4
category1_01,2022-03-02,3
category1_01,2022-03-03,3
category1_01,2022-03-04,9
category1_01,2022-03-05,8
category1_01,2022-03-07,1
category1_01,2022-03-08,1
category1_01,2022-03-09,2
category1_01,2022-03-10,1
category1_01,2022-03-11,4
category1_01,2022-03-12,13
category1_01,2022-03-14,6
category1_01,2022-03-15,3
category1_01,2022-03-16,3
category1_01,2022-03-17,4
category1_01,2022-03-18,3
category1_01,2022-03-19,4
category1_01,2022-03-21,2
category1_01,2022-03-22,3
category1_01,2022-03-23,7
category1_01,2022-03-24,3
category1_01,2022-03-25,8
category1_01,2022-03-26,11
